run_id,seed,dynamics_type,observation_noise_std,delay_steps,missing_prob,obs_dim,state_dim,n_timesteps,rmse_kf,rmse_ekf,rmse_pf,rmse_nn,false_conf_kf,calibration_kf,regime_delay_mean
seq_000000,42,LinearSDE,0.1787896879867074,2,0.0697368029059364,1,2,200,0.07981703489662383,,0.09035591409590259,0.3666887014276383,0.4975124378109453,0.2411940298507463,0.0
seq_000001,43,DampedOscillatorODE,0.11755789068433509,2,0.037079802423258125,1,2,200,,0.08321401895948477,0.010298428641305741,0.3100710343472983,,,0.0
seq_000002,44,DampedOscillatorODE,0.13318771805237523,1,0.006381725610417533,1,2,200,,0.07095026410502801,0.014089360923801886,0.05973103956243685,,,0.0
seq_000003,45,DampedOscillatorODE,0.18396816819832967,1,0.07783834970737619,2,2,200,,0.09452963735610874,0.004365245850722745,0.22399666387997547,,,0.0
seq_000004,46,DampedOscillatorODE,0.1617143233861726,0,0.09675097324342101,2,2,200,,0.09059189423403267,0.010397579082696558,0.3359779606258832,,,0.0
seq_000005,47,DampedOscillatorODE,0.12135573893389008,0,0.022690934905088413,1,2,200,,0.071686948574324,0.012467390980627982,0.30045937947976586,,,0.0
seq_000006,48,DampedOscillatorODE,0.10812175685452619,2,0.028832810393024412,2,2,200,,0.07244170198671654,0.009988079673480903,0.19721395552269694,,,0.0
seq_000007,49,DampedOscillatorODE,0.14972762848880483,0,0.07051653786263351,2,2,200,,0.08672491151163315,0.011246273157902642,0.2268883536417693,,,0.0
seq_000008,50,LinearSDE,0.15026044426857077,0,0.04710962061431326,1,2,200,0.1085535642079776,,0.09148724468221127,0.17202741532047494,0.4975124378109453,0.20606965174129355,0.0
seq_000009,51,DampedOscillatorODE,0.09559251470939184,1,0.0030817834567939406,1,2,200,,0.06223439978867236,0.011027325814076717,0.2814703503591406,,,0.0
